ASUS Zenbook 14 OLED UX3405MA-PP152W,Intel Core Ultra 7 155H,Intel Arc graphics GEN 1 (tích hợp),75 Wh,,14 inch,2880 x 1800 pixel,--,--,--,https://laplap.tech/device/18
ASUS ROG Strix G16 (2024) G614,Intel Core i7-13650HX,NVIDIA RTX 4060,90 Wh,2.373 kg,16 inch,2560 x 1600 pixel,--,--,99.389,https://laplap.tech/device/17
MSI Stealth A16 AI+,AMD Ryzen AI 9 HX 370,NVIDIA RTX 4070,99.9 Wh,2.145 kg,16 inch,3840 x 2400 pixel,--,--,105.344,https://laplap.tech/device/16
ACER Gaming Aspire 7,Intel Core i5-12450H,NVIDIA RTX 3050,49.7 Wh,1.916 kg,15.6 inch,1920 x 1080 pixel,--,--,55.735,https://laplap.tech/device/15
MSI Prestige A16 AI+,AMD Ryzen AI 9 365,AMD Radeon 890M (tích hợp),82.3 Wh,1.972 kg,16 inch,3840 x 2400 pixel,--,--,33.757,https://laplap.tech/device/14
Lenovo LOQ 15IAX9,Intel Core i5-12450H,NVIDIA RTX 2050,57.5 Wh,1.847 kg,15.6 inch,1920 x 1080 pixel,--,--,47.990,https://laplap.tech/device/12
Acer Nitro V 15,AMD Ryzen 5 6600H,NVIDIA RTX 3050,57.5 Wh,2.064 kg,15.6 inch,1920 x 1080 pixel,--,--,56.515,https://laplap.tech/device/11
MSI Stealth 18 Mercedes AMG,Intel Core Ultra 9 185H,NVIDIA RTX 4080,99 Wh,2.924 kg,18 inch,3840 x 2400 pixel,--,--,156.177,https://laplap.tech/device/10
Asus Vivobook S 14,Intel Core Ultra 7 258V,Intel Arc Graphics 140V (tích hợp),75 Wh,1.291 kg,14 inch,2880 x 1880 pixel,--,--,28.764,https://laplap.tech/device/9
Apple MacBook Pro M4,Apple M4,Apple M4,72.4 Wh,1.527 kg,14.2 inch,3024 x 1964 pixel,3.683,15.054,37.937,https://laplap.tech/device/8
MacBook Pro 16 inch M4 Max,Apple M4 Max,Apple M4 Max,100 Wh,2.15 kg,16 inch,3456 x 2234 pixel,3.684,26.362,117.237,https://laplap.tech/device/7
MacBook Pro 14 inch M4 Pro (base),Apple M4 Pro,Apple M4 Pro,72.4 Wh,1.6 kg,14 inch,3024 x 1964 pixel,3.789,20.388,60.886,https://laplap.tech/device/6
Asus TUF Gaming A14 (2024),AMD Ryzen AI 9 HX 370,NVIDIA RTX 4060,72.4 Wh,1.4 kg,14 inch,2560 x 1600 pixel,2.869,15.479,93.537,https://laplap.tech/device/5
HP OMEN Transcend 14,Intel Core Ultra 7 155H,NVIDIA RTX 4060,71 Wh,1.64 kg,14 inch,2880 x 1800 pixel,--,--,--,https://laplap.tech/device/4
Dell XPS 13 2024,Intel Core Ultra 7 256V,Intel Arc Graphics 140V (tích hợp),55 Wh,1.22 kg,13 inch,1920 x 1200 pixel,--,--,--,https://laplap.tech/device/3
Expertbook P5,Intel Core Ultra 7 258V,Intel Arc Graphics 140V (tích hợp),63 Wh,1.269 kg,14 inch,2560 x 1600 pixel,--,--,--,https://laplap.tech/device/2
Asus Zenbook S 14 OLED,Intel Core Ultra 7 258V,Intel Arc Graphics 140V (tích hợp),72 Wh,1.2 kg,14 inch,2880 x 1800 pixel,2.721,10.729,29.164,https://laplap.tech/device/1
